ID,population,DTA,ASI
W22 x TIL01 BC1S4# Line_C002,W22TIL01,73,1
W22 x TIL01 BC1S4# Line_C003,W22TIL01,74,3
W22 x TIL01 BC1S4# Line_C004,W22TIL01,92,2
W22 x TIL01 BC1S4# Line_C006,W22TIL01,72,-6
W22 x TIL01 BC1S4# Line_C007,W22TIL01,89,0
W22 x TIL01 BC1S4# Line_C008,W22TIL01,67,-3
W22 x TIL01 BC1S4# Line_C009,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_C010,W22TIL01,77,-1
W22 x TIL01 BC1S4# Line_C011,W22TIL01,72,-2
W22 x TIL01 BC1S4# Line_C012,W22TIL01,71,0
W22 x TIL01 BC1S4# Line_C013,W22TIL01,67,-4
W22 x TIL01 BC1S4# Line_C014,W22TIL01,77,-4
W22 x TIL01 BC1S4# Line_C015,W22TIL01,80,0
W22 x TIL01 BC1S4# Line_C016,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_C018,W22TIL01,74,-4
W22 x TIL01 BC1S4# Line_C019,W22TIL01,66,-1
W22 x TIL01 BC1S4# Line_C020,W22TIL01,70,-7
W22 x TIL01 BC1S4# Line_C021,W22TIL01,73,-3
W22 x TIL01 BC1S4# Line_C022,W22TIL01,84,-2
W22 x TIL01 BC1S4# Line_C023,W22TIL01,73,0
W22 x TIL01 BC1S4# Line_C024,W22TIL01,76,2
W22 x TIL01 BC1S4# Line_C025,W22TIL01,70,1
W22 x TIL01 BC1S4# Line_C026,W22TIL01,77,-2
W22 x TIL01 BC1S4# Line_C027,W22TIL01,67,1
W22 x TIL01 BC1S4# Line_C028,W22TIL01,75,-4
W22 x TIL01 BC1S4# Line_C029,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_C030,W22TIL01,78,0
W22 x TIL01 BC1S4# Line_C031,W22TIL01,76,-8
W22 x TIL01 BC1S4# Line_C032,W22TIL01,69,2
W22 x TIL01 BC1S4# Line_C033,W22TIL01,73,-6
W22 x TIL01 BC1S4# Line_C034,W22TIL01,78,-5
W22 x TIL01 BC1S4# Line_C035,W22TIL01,66,1
W22 x TIL01 BC1S4# Line_C036,W22TIL01,76,-3
W22 x TIL01 BC1S4# Line_C037,W22TIL01,75,-5
W22 x TIL01 BC1S4# Line_C038,W22TIL01,77,0
W22 x TIL01 BC1S4# Line_C039,W22TIL01,70,0
W22 x TIL01 BC1S4# Line_C040,W22TIL01,83,-1
W22 x TIL01 BC1S4# Line_C041,W22TIL01,81,-9
W22 x TIL01 BC1S4# Line_C042,W22TIL01,69,-1
W22 x TIL01 BC1S4# Line_C043,W22TIL01,75,-2
W22 x TIL01 BC1S4# Line_C044,W22TIL01,68,-1
W22 x TIL01 BC1S4# Line_C047,W22TIL01,74,-6
W22 x TIL01 BC1S4# Line_C048,W22TIL01,67,-1
W22 x TIL01 BC1S4# Line_C049,W22TIL01,68,-4
W22 x TIL01 BC1S4# Line_C050,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_C051,W22TIL01,68,-3
W22 x TIL01 BC1S4# Line_C052,W22TIL01,74,-3
W22 x TIL01 BC1S4# Line_C053,W22TIL01,69,1
W22 x TIL01 BC1S4# Line_C054,W22TIL01,70,-6
W22 x TIL01 BC1S4# Line_C055,W22TIL01,78,-2
W22 x TIL01 BC1S4# Line_C056,W22TIL01,78,-2
W22 x TIL01 BC1S4# Line_C058,W22TIL01,71,-4
W22 x TIL01 BC1S4# Line_C059,W22TIL01,77,-2
W22 x TIL01 BC1S4# Line_C060,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_C061,W22TIL01,76,-3
W22 x TIL01 BC1S4# Line_C062,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_C064,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_C065,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_C066,W22TIL01,75,0
W22 x TIL01 BC1S4# Line_C068,W22TIL01,70,-1
W22 x TIL01 BC1S4# Line_C071,W22TIL01,77,-3
W22 x TIL01 BC1S4# Line_C073,W22TIL01,67,-1
W22 x TIL01 BC1S4# Line_C074,W22TIL01,85,3
